Almar Kalan Road to Gulzameen Koorona,,
SEGMENT 1,,
SEGMENT 10,,
SEGMENT 11,,
SEGMENT 12,,
SEGMENT 13,,
SEGMENT 14,,
SEGMENT 15,,
SEGMENT 16,,
SEGMENT 2,,
SEGMENT 3,,
SEGMENT 4,,
SEGMENT 5,,
SEGMENT 6,,
SEGMENT 7,,
SEGMENT 8,,
SEGMENT 9,,
Construction BTR From Hizbo Daggar,,
Segment 01,,
Segment 02,,
Construction of Black top from Main Ragha Sar to Fazal Khel,,
Segment 01,,
Segment 02,,
Segment 03,,
Segment 04,,
Segment 05,,
Segment 06,,
Segment 07,,
Segment 08,,
Segment 09,,
Construction Of Main Ragha Sar Road to Dargai Arsala Din Koorona,,
SEGMENT 1,,
SEGMENT 2,,
SEGMENT 3,,
SEGMENT 4,,
SEGMENT 5,,
SEGMENT 6,,
Construction of mian Hassan Khel road to Mattin Koroona,,
SEGMENT 1,,
SEGMENT 10,,
SEGMENT 11,,
SEGMENT 12,,
SEGMENT 13,,
SEGMENT 2,,
SEGMENT 3,,
SEGMENT 4,,
SEGMENT 5,,
SEGMENT 6,,
SEGMENT 7,,
SEGMENT 8,,
SEGMENT 9,,
Darrazinda to Landi Astanadar,PC1,
Segment 01,,
Segment 02,,
Segment 03,,
Segment 04,,
Segment 05,,
Segment 07,,
Segment 08,,
Segment 09,,
Segment 10,,
Segment 11,,
Segment 12,,
Segment 13,,
Segment 14,,
Segment 15,,
Segment 16,,
Segment 17,,
Segment 18,,
Segment 19,,
Segment 20,,
Distry 19 village Lunda Para,,
Segment 07,,
Segment 08,,
Segment 09,,
Segment 10,,
Segment 11,,
Segment 12,,
Segment 13,,
Segment 14,,
Segment 15,,
Segment 16,,
Segment 17,,
Segment 18,,
Segment 19,,
Segment 20,,
Segment 21,,
Segment 22,,
Segment 23,,
Segment 24,,
Segment 25,,
Segment 26,,
Segment 27,,
Segment 28,,
From Main Darazinda Road to Fazal Jan Korona Ragha Sar,,
Segment 01,,
Segment 02,,
Segment 03,,
Segment 04,,
Segment 05,,
Segment 06,,
Segment 07,,
Segment 08,,
Segment 09,,
Segment 10,,
Segment 11,,
Segment 12,,
Segment 13,,
From main Darazinda road to Zar Badshah KoronaAlmar kalan via landi baloch,,
Segment 01,,
Segment 02,,
Segment 03,,
Segment 04,,
Segment 05,,
Segment 06,,
Segment 07,,
Segment 08,,
Segment 09,,
Segment 10,,
Segment 11,,
Segment 12,,
Segment 13,,
